学生姓名,生源地,毕业去向,就业单位名称/征兵办名称/项目名称/创业单位名称/升学院校名称/境外单位名称,单位/征兵办/项目/院校所属地区,单位/征兵办/项目/院校所属地区.1,岗位名称/专业名称/工作内容,职业类型,薪酬,签约时间/入伍时间/创业时间/就业时间/入学、入职时间,专业与就业相关度,院系,专业名称,学历
,江西省抚州市乐安县,其他录用形式就业,广州市喜仁信息科技有限公司,广东省广州市天河区,广东省广州市天河区,运营,办事人员和有关人员,3500.0,2021-08-16,一般匹配,外语外贸学院,应用英语,专科
,广东省中山市,自主创业,中山讯邦时代企业策划有限公司,广东省中山市,广东省中山市,,其他人员,10000.0,2019-10-17,比较匹配,信息学院,计算机应用技术移动应用方向（现代学徒制）,专科
,广东省潮州市饶平县,境内升学,广东白云学院,广东省广州市白云区,广东省广州市白云区,工商管理,其他人员,,2021-09-01,,外语外贸学院,旅游英语,专科
,广东省清远市英德市,签就业协议形式就业,广州市天河区黄村艺术幼儿园,广东省广州市天河区,广东省广州市天河区,黄村艺术幼儿园,教学人员,3500.0,2021-07-01,比较匹配,学前教育学院,学前教育-2年制,专科
,广东省清远市英德市,签就业协议形式就业,广州嘻宝教育科技有限公司,广东省广州市,广东省广州市,副班老师,教学人员,3800.0,2021-06-01,匹配,学前教育学院,学前教育-2年制,专科
,广东省清远市,其他录用形式就业,广州市荔湾区小绿堡保利曼城幼儿园,广东省广州市越秀区,广东省广州市越秀区,幼儿教师,教学人员,3000.0,2021-02-22,很匹配,学前教育学院,学前教育-2年制,专科
,广东省佛山市南海区,境内升学,岭南师范学院,广东省湛江市赤坎区,广东省湛江市赤坎区,商务英语,其他人员,,2021-09-01,,基础教育学院,英语教育-5年制,专科
,广东省梅州市五华县,签就业协议形式就业,金沙街中心幼儿园,广东省广州市白云区,广东省广州市白云区,副班教师,教学人员,2500.0,2021-02-24,匹配,学前教育学院,学前教育-2年制,专科
,广东省揭阳市普宁市,其他录用形式就业,珠海紫牛网络科技有限公司,广东省珠海市香洲区,广东省珠海市香洲区,运营,其他专业技术人员,5000.0,2021-04-22,比较匹配,信息学院,数字媒体应用技术-2年制,专科
,广东省汕尾市,自由职业,,广东省珠海市金湾区,广东省珠海市金湾区,自由职业,其他人员,6000.0,2021-08-09,不匹配,艺术设计学院,影视动画-2年制,专科
,广东省揭阳市普宁市,境内升学,广州新华学院,广东省东莞市,广东省东莞市,商务英语,其他人员,,2021-09-01,,外语外贸学院,商务英语,专科
,广东省揭阳市普宁市,其他录用形式就业,珠海市香洲宝容制衣厂,广东省珠海市香洲区,广东省珠海市香洲区,服装设计,其他专业技术人员,4000.0,2021-03-27,比较匹配,艺术设计学院,影视动画-2年制,专科
,广东省揭阳市揭西县,签就业协议形式就业,广州市番禺区大龙街爱问幼儿园,广东省广州市番禺区,广东省广州市番禺区,副班,教学人员,3000.0,2021-02-22,很匹配,学前教育学院,学前教育-2年制,专科
,广东省揭阳市,其他录用形式就业,鹤山市翰林学校,广东省鹤山市,广东省鹤山市,实习教师,教学人员,3000.0,2021-02-20,匹配,基础教育学院,英语教育-5年制,专科
,广东省汕头市潮阳区,应征义务兵,广东省汕头市潮阳区人民政府征兵办公室,广东省汕头市潮阳区,广东省汕头市潮阳区,,军人,,2021-03-01,匹配,外语外贸学院,商务日语,专科
,广东省汕尾市陆河县,签就业协议形式就业,广州飞乐数码科技有限公司,广东省广州市天河区,广东省广州市天河区,仓库管理,其他人员,4000.0,2021-01-01,一般匹配,公共管理学院,人力资源管理,专科
,广东省揭阳市普宁市,待就业,,,,,,,,,外语外贸学院,应用英语,专科
,广东省揭阳市普宁市,自由职业,,广东省广州市,广东省广州市,兼职,其他人员,4000.0,2021-03-26,很匹配,艺术教育学院,音乐教育,专科
,广东省江门市台山市,签就业协议形式就业,深圳市海岸千里创新科技有限公司,广东省深圳市南山区,广东省深圳市南山区,平台运营管理,商业和服务业人员,5000.0,2021-03-01,一般匹配,学前教育学院,学前教育,专科
,广东省茂名市高州市,签劳动合同形式就业,东莞市蓝手指电子有限公司,广东省东莞市,广东省东莞市,外贸业务员,经济业务人员,4000.0,2021-10-15,很匹配,基础教育学院,英语教育,专科
,广东省揭阳市揭东区,签劳动合同形式就业,广州卓境科技有限公司,广东省广州市黄埔区,广东省广州市黄埔区,Unity3D开发工程师,其他专业技术人员,4500.0,2021-04-14,很匹配,信息学院,数字展示技术,专科
,广东省河源市紫金县,境内升学,华南农业大学珠江学院,广东省广州市从化区,广东省广州市从化区,汉语言文学,其他人员,,2021-08-26,,基础教育学院,语文教育,专科
,广东省茂名市化州市,其他录用形式就业,湛江开发区全心教育信息咨询服务部,广东省湛江市霞山区,广东省湛江市霞山区,语文辅导老师,教学人员,3000.0,2021-03-01,比较匹配,基础教育学院,小学教育,专科
,广东省茂名市,签就业协议形式就业,茂名市电白区君宁商务酒店有限公司,广东省茂名市电白区,广东省茂名市电白区,前台接待,商业和服务业人员,2500.0,2021-04-01,很匹配,外语外贸学院,旅游英语,专科
,广东省茂名市电白区,签劳动合同形式就业,广州学龠文化投资有限公司,广东省广州市白云区,广东省广州市白云区,声乐老师,教学人员,3000.0,2021-02-18,很匹配,音乐舞蹈学院,表演艺术,专科
,广东省揭阳市普宁市,境内升学,广东第二师范学院,广东省广州市海珠区,广东省广州市海珠区,学前教育,其他人员,,2021-09-04,,学前教育学院,早期教育,专科
,广东省佛山市顺德区,其他录用形式就业,佛山市涛哲科技有限公司,广东省佛山市顺德区,广东省佛山市顺德区,客服,其他专业技术人员,3600.0,2021-03-22,一般匹配,信息学院,数字媒体应用技术-2年制,专科
,广东省惠州市惠东县,签就业协议形式就业,广州启思德教育咨询有限公司,广东省广州市黄埔区,广东省广州市黄埔区,幼师,教学人员,3000.0,2021-03-01,很匹配,学前教育学院,早期教育,专科
,广东省广州市,签就业协议形式就业,广汽丰田汽车有限公司,广东省广州市南沙区,广东省广州市南沙区,部门负责人,其他专业技术人员,6000.0,2020-12-28,一般匹配,外语外贸学院,商务英语,专科
,广东省茂名市,签就业协议形式就业,江门市华友国际货运代理有限公司,广东省江门市蓬江区,广东省江门市蓬江区,海运单证员,其他人员,3000.0,2021-03-01,很匹配,外语外贸学院,国际贸易实务,专科
,广东省汕头市龙湖区,签劳动合同形式就业,广州境壹优创文化产业发展有限公司,广东省广州市天河区,广东省广州市天河区,插画师,文学艺术工作人员,3500.0,2021-03-15,比较匹配,艺术设计学院,影视动画,专科
,广东省广州市番禺区,签劳动合同形式就业,志锋书画院（广州）有限公司,广东省广州市番禺区,广东省广州市番禺区,美术老师,教学人员,3200.0,2021-03-26,一般匹配,艺术设计学院,玉器设计与工艺,专科
,广东省广州市花都区,自由职业,,广东省广州市天河区,广东省广州市天河区,接商演,文学艺术工作人员,5000.0,2021-05-01,匹配,音乐舞蹈学院,歌舞表演,专科
,广东省汕头市潮南区,签劳动合同形式就业,易通（广州）物联网有限公司,广东省广州市白云区,广东省广州市白云区,运营助理,商业和服务业人员,3000.0,2021-03-01,很匹配,外语外贸学院,电子商务,专科
,广东省湛江市遂溪县,境内升学,湛江科技学院,广东省湛江市麻章区,广东省湛江市麻章区,英语,其他人员,,2021-09-04,,基础教育学院,英语教育,专科
,广东省清远市佛冈县,境内升学,广东白云学院,广东省广州市白云区,广东省广州市白云区,英语,其他人员,,2021-09-01,,外语外贸学院,商务英语,专科
,广东省茂名市化州市,自主创业,博乐托管中心,广东省化州市,广东省化州市,,其他人员,3000.0,2021-08-01,很匹配,基础教育学院,英语教育,专科
,广东省清远市英德市,签就业协议形式就业,鄱阳县波光信息技术有限公司,广东省广州市天河区,广东省广州市天河区,招聘专员,其他人员,5000.0,2021-08-31,不匹配,外语外贸学院,应用英语,专科
,广东省潮州市饶平县,境内升学,仲恺农业工程学院,广东省广州市海珠区,广东省广州市海珠区,行政管理,其他人员,,2021-09-10,,公共管理学院,人力资源管理,专科
,广东省揭阳市普宁市,其他录用形式就业,普宁市大南山街道新宁小学,广东省普宁市,广东省普宁市,老师,教学人员,2500.0,2021-04-24,一般匹配,外语外贸学院,应用英语,专科
,广东省汕尾市陆丰市,境内升学,广州理工学院,广东省广州市白云区,广东省广州市白云区,英语,其他人员,,2021-08-28,,基础教育学院,英语教育,专科
,广东省广州市荔湾区,其他录用形式就业,广东万宁连锁商业有限公司,广东省广州市越秀区,广东省广州市越秀区,开发部实习生,办事人员和有关人员,2500.0,2020-12-13,一般匹配,外语外贸学院,应用韩语,专科
,广东省肇庆市端州区,其他录用形式就业,广州市康华电子科技有限公司,广东省广州市天河区,广东省广州市天河区,外贸业务员,其他人员,4500.0,2021-05-13,匹配,外语外贸学院,应用英语,专科
,广东省广州市,境内升学,湛江科技学院,广东省湛江市麻章区,广东省湛江市麻章区,英语,其他人员,,2021-09-04,,外语外贸学院,应用英语,专科
,广东省肇庆市德庆县,境内升学,广东工商职业技术大学,广东省肇庆市端州区,广东省肇庆市端州区,应用英语,其他人员,,2021-09-12,,外语外贸学院,商务英语,专科
,广东省清远市清城区,境内升学,嘉应学院,广东省梅州市梅县区,广东省梅州市梅县区,小学教育,其他人员,,2021-09-01,,外语外贸学院,应用韩语,专科
,广东省汕尾市陆丰市,其他录用形式就业,广州赛国生物科技有限公司,广东省广州市天河区,广东省广州市天河区,销售助理,其他人员,3500.0,2021-04-12,一般匹配,外语外贸学院,商务英语,专科
,广东省清远市连州市,境内升学,广州新华学院,广东省东莞市,广东省东莞市,电子商务,其他人员,,2021-08-28,,外语外贸学院,电子商务,专科
,广东省广州市荔湾区,签劳动合同形式就业,广东南方都市报经营有限公司,广东省广州市越秀区,广东省广州市越秀区,编辑助理,新闻出版和文化工作人员,2200.0,2021-08-12,比较匹配,艺术设计学院,影视动画,专科
,广东省梅州市五华县,签就业协议形式就业,广州飞进信息科技有限公司,广东省广州市天河区,广东省广州市天河区,人事助理,商业和服务业人员,2500.0,2020-11-25,匹配,公共管理学院,人力资源管理,专科
,广东省汕头市,签就业协议形式就业,广州市贰马路网络有限责任公司,广东省广州市越秀区,广东省广州市越秀区,运营助理,其他人员,4000.0,2021-03-16,一般匹配,外语外贸学院,电子商务,专科
,广东省梅州市兴宁市,自主创业,广州潮客生活贸易有限公司,广东省广州市黄埔区,广东省广州市黄埔区,,商业和服务业人员,6000.0,2021-05-25,一般匹配,外语外贸学院,旅游英语,专科
,广东省肇庆市怀集县,境内升学,韩山师范学院,广东省潮州市湘桥区,广东省潮州市湘桥区,英语教育,其他人员,,2021-09-01,,基础教育学院,英语教育,专科
,广东省河源市龙川县,其他录用形式就业,广州纽诺教育科技有限公司,广东省广州市天河区,广东省广州市天河区,跟班老师,教学人员,2300.0,2021-05-04,很匹配,学前教育学院,早期教育,专科
,广东省湛江市吴川市,境内升学,湛江科技学院,广东省湛江市麻章区,广东省湛江市麻章区,音乐学,其他人员,,2021-09-04,,音乐舞蹈学院,歌舞表演,专科
,广东省广州市黄埔区,其他录用形式就业,广州粤洋文化传播有限公司,广东省广州市天河区,广东省广州市天河区,助教,教学人员,3000.0,2021-04-20,不匹配,基础教育学院,小学教育,专科
,广东省梅州市五华县,境内升学,广东财经大学,广东省广州市海珠区,广东省广州市海珠区,行政管理,其他人员,,2021-09-01,,公共管理学院,人力资源管理,专科
,广东省惠州市惠城区,签劳动合同形式就业,广东杰希家居集团有限公司,广东省惠州市惠城区,广东省惠州市惠城区,外贸业务助理,经济业务人员,3500.0,2021-04-01,匹配,外语外贸学院,应用韩语,专科
,广东省惠州市惠阳区,签就业协议形式就业,惠州市绎维贸易有限公司,广东省惠州市惠阳区,广东省惠州市惠阳区,文员,办事人员和有关人员,3500.0,2021-03-15,一般匹配,学前教育学院,早期教育,专科
,广东省清远市连州市,境内升学,广东金融学院,广东省肇庆市端州区,广东省肇庆市端州区,工商管理,其他人员,,2021-08-28,,外语外贸学院,国际贸易实务,专科
,广东省佛山市南海区,其他录用形式就业,佛山市兴雅乐途文化艺术传播有限公司,广东省佛山市南海区,广东省佛山市南海区,辅导老师,教学人员,3000.0,2021-03-01,一般匹配,音乐舞蹈学院,表演艺术,专科
,广东省广州市天河区,境内升学,广东白云学院,广东省广州市白云区,广东省广州市白云区,工商管理,其他人员,,2021-09-01,,公共管理学院,文秘,专科
,广东省广州市从化区,其他录用形式就业,广州市得田房地产顾问有限公司,广东省广州市从化区,广东省广州市从化区,设计师,其他专业技术人员,2500.0,2021-05-12,比较匹配,艺术设计学院,产品艺术设计,专科
,广东省潮州市饶平县,自主创业,广州市天河区长兴爆车游戏工作室,广东省广州市天河区,广东省广州市天河区,,其他人员,3000.0,2021-03-20,比较匹配,外语外贸学院,商务英语,专科
,广东省汕头市潮阳区,签就业协议形式就业,广州帮搬科技有限公司,广东省广州市白云区,广东省广州市白云区,Shopee运营助理,其他人员,4000.0,2021-03-01,匹配,外语外贸学院,国际贸易实务,专科
,广东省揭阳市揭西县,其他录用形式就业,广州置家实业集团有限公司,广东省广州市黄埔区,广东省广州市黄埔区,销售顾问,商业和服务业人员,5000.0,2021-05-19,一般匹配,信息学院,计算机应用技术（网络）,专科
,广东省揭阳市惠来县,其他录用形式就业,汕头市佐美织造有限公司,广东省汕头市潮南区,广东省汕头市潮南区,业务跟单,其他人员,3000.0,2021-05-22,一般匹配,学前教育学院,学前教育-5年制,专科
,广东省深圳市南山区,其他录用形式就业,深圳市长盛威光电科技有限公司,广东省深圳市坪山区,广东省深圳市坪山区,外贸销售,商业和服务业人员,4500.0,2021-04-01,一般匹配,基础教育学院,英语教育-5年制,专科
,湖南省永州市新田县,应征义务兵,新田县枧头镇武装部,湖南省新田县,湖南省新田县,,军人,,2021-09-09,匹配,信息学院,计算机应用技术（云计算运维）-2年制,专科
,广东省惠州市龙门县,境内升学,广东第二师范学院,广东省广州市海珠区,广东省广州市海珠区,音乐学,其他人员,,2021-09-01,,音乐舞蹈学院,表演艺术-5年制,专科
,广东省汕头市濠江区,签劳动合同形式就业,广州市星火网校教育科技有限公司,广东省广州市天河区,广东省广州市天河区,辅导老师,商业和服务业人员,4000.0,2021-08-03,不匹配,外语外贸学院,商务英语,专科
,广东省肇庆市广宁县,其他录用形式就业,国药控股和记黄埔医药（上海）有限公司,广东省广州市天河区,广东省广州市天河区,助理医学信息专员,其他人员,4000.0,2021-07-10,不匹配,艺术设计学院,玉器设计与工艺,专科
,广东省云浮市郁南县,签就业协议形式就业,广州市海珠区南石头街探星幼儿园,广东省广州市海珠区,广东省广州市海珠区,幼儿园副班,教学人员,2100.0,2021-03-01,比较匹配,学前教育学院,学前教育-2年制,专科
,广东省韶关市翁源县,签就业协议形式就业,广州市海珠区康隆幼儿园,广东省广州市海珠区,广东省广州市海珠区,副班老师,教学人员,2200.0,2021-02-22,很匹配,学前教育学院,学前教育-2年制,专科
,广东省梅州市丰顺县,签就业协议形式就业,华南农业大学幼儿园,广东省广州市天河区,广东省广州市天河区,教师,教学人员,5500.0,2021-01-05,很匹配,学前教育学院,学前教育-2年制,专科
,广东省佛山市南海区,签劳动合同形式就业,广州海珠区培童学堂文化咨询服务有限责任公司,广东省广州市海珠区,广东省广州市海珠区,晚辅老师,教学人员,3000.0,2021-03-04,匹配,基础教育学院,英语教育-5年制,专科
,广东省广州市荔湾区,其他录用形式就业,广州市玖零影视文化传播有限责任公司,广东省广州市,广东省广州市,后期剪辑师,工程技术人员,2100.0,2021-03-14,比较匹配,信息学院,数字媒体应用技术-2年制,专科
,广东省揭阳市惠来县,签就业协议形式就业,惠来县葵潭镇长峰幼儿园,广东省揭阳市惠来县,广东省揭阳市惠来县,幼儿教师,教学人员,4000.0,2021-03-23,很匹配,学前教育学院,学前教育-2年制,专科
,广东省广州市天河区,自由职业,,广东省广州市天河区,广东省广州市天河区,钢琴家教,教学人员,2000.0,2021-07-01,很匹配,艺术教育学院,音乐教育-5年制,专科
,广东省广州市,自主创业,广州初蝶贸易有限公司,广东省广州市越秀区,广东省广州市越秀区,,商业和服务业人员,5000.0,2020-06-12,一般匹配,音乐舞蹈学院,表演艺术-5年制,专科
,广东省揭阳市揭西县,签就业协议形式就业,广州市番禺区阳阳实验幼儿园,广东省广州市番禺区,广东省广州市番禺区,副班教师,教学人员,3500.0,2021-02-18,匹配,学前教育学院,学前教育-2年制,专科
,广东省广州市越秀区,自由职业,,广东省广州市海珠区,广东省广州市海珠区,琴行钢琴陪练老师,教学人员,3000.0,2021-03-02,匹配,艺术教育学院,音乐教育-5年制,专科
,广东省韶关市浈江区,境内升学,惠州学院,广东省惠州市惠城区,广东省惠州市惠城区,市场营销,其他人员,,2021-09-11,,公共管理学院,人力资源管理,专科
,广东省东莞市,签就业协议形式就业,东莞市企石大拇指幼儿园,广东省东莞市,广东省东莞市,助理,教学人员,2000.0,2020-07-05,一般匹配,公共管理学院,文秘,专科
,广东省揭阳市普宁市,境内升学,广东东软学院,广东省佛山市南海区,广东省佛山市南海区,商务英语,其他人员,,2021-09-11,,基础教育学院,英语教育,专科
,广东省梅州市五华县,待就业,,,,,,,,,信息学院,计算机应用技术（移动应用）,专科
,广东省茂名市高州市,签劳动合同形式就业,广州市卡丽酒店有限公司,广东省广州市白云区,广东省广州市白云区,销售主任,其他人员,3300.0,2021-07-01,比较匹配,外语外贸学院,旅游英语,专科
,广东省汕尾市陆丰市,签劳动合同形式就业,广东省外语艺术职业学院,广东省广州市天河区,广东省广州市天河区,普通话培训测试站工作人员,其他专业技术人员,3000.0,2021-07-09,不匹配,信息学院,数字媒体应用技术,专科
,广东省茂名市高州市,境内升学,广东技术师范大学,广东省广州市白云区,广东省广州市白云区,学前教育,其他人员,,2021-09-01,,学前教育学院,学前教育,专科
,广东省广州市番禺区,其他录用形式就业,广东省嘉谦机械制造有限公司,广东省广州市番禺区,广东省广州市番禺区,运营助理,办事人员和有关人员,3000.0,2021-09-08,一般匹配,信息学院,计算机应用技术（移动应用）,专科
,广东省梅州市梅县区,签劳动合同形式就业,平安银行股份有限公司广州分行,广东省广州市天河区,广东省广州市天河区,行政前台,其他人员,3500.0,2021-07-19,比较匹配,公共管理学院,人力资源管理,专科
,广东省河源市龙川县,境内升学,肇庆学院,广东省肇庆市端州区,广东省肇庆市端州区,小学教育,其他人员,,2021-08-28,,基础教育学院,英语教育,专科
,广东省湛江市雷州市,其他录用形式就业,广州学求易教育咨询有限公司,广东省广州市天河区,广东省广州市天河区,人事专员,其他人员,4000.0,2020-11-16,一般匹配,公共管理学院,人力资源管理,专科
,广东省佛山市禅城区,签劳动合同形式就业,广东人信工程咨询有限公司,广东省佛山市禅城区,广东省佛山市禅城区,会长助理,商业和服务业人员,5300.0,2021-07-01,匹配,公共管理学院,文秘,专科
,广东省汕尾市陆丰市,签就业协议形式就业,广州鑫奥盛汽车配件有限公司,广东省广州市越秀区,广东省广州市越秀区,销售,商业和服务业人员,4500.0,2021-03-01,一般匹配,外语外贸学院,旅游英语,专科
,广东省茂名市信宜市,签就业协议形式就业,广州市天河区东圃新爱婴国际早教中心,广东省广州市天河区,广东省广州市天河区,助班老师,教学人员,3800.0,2021-02-18,匹配,学前教育学院,早期教育,专科
,广东省广州市增城区,签劳动合同形式就业,广州聚信管理咨询服务有限公司,广东省广州市增城区,广东省广州市增城区,窗口服务人员,其他人员,2100.0,2021-07-19,比较匹配,艺术设计学院,产品艺术设计,专科
,广东省梅州市蕉岭县,境内升学,广东技术师范大学,广东省广州市白云区,广东省广州市白云区,学前教育,其他人员,,2021-08-28,,学前教育学院,学前教育,专科
,广东省揭阳市揭西县,签就业协议形式就业,广州市番禺区洛浦街中心幼儿园,广东省广州市番禺区,广东省广州市番禺区,教师,教学人员,3264.0,2021-03-11,很匹配,学前教育学院,学前教育-5年制,专科
,广东省揭阳市惠来县,其他录用形式就业,惠来县方方文化传播有限公司,广东省揭阳市惠来县,广东省揭阳市惠来县,钢琴教师,教学人员,6758.0,2021-03-02,很匹配,艺术教育学院,音乐教育-5年制,专科
,广东省清远市佛冈县,签就业协议形式就业,广州市宾捷汽车配件有限公司,广东省广州市天河区,广东省广州市天河区,销售,其他人员,5000.0,2021-04-04,一般匹配,外语外贸学院,旅游英语,专科
,广东省肇庆市怀集县,其他录用形式就业,广州市黄埔区优伽乐教育培训中心有限公司,广东省广州市黄埔区,广东省广州市黄埔区,数学老师,教学人员,3100.0,2021-03-01,比较匹配,基础教育学院,小学教育,专科
,广东省揭阳市榕城区,自由职业,,广东省揭阳市榕城区,广东省揭阳市榕城区,家教,教学人员,3000.0,2021-08-01,一般匹配,公共管理学院,文秘,专科
,海南省临高县,签劳动合同形式就业,佛山市溢丰汽车销售服务有限公司,广东省佛山市禅城区,广东省佛山市禅城区,销售实习生,其他人员,3000.0,2020-12-16,一般匹配,外语外贸学院,商务英语,专科
,广东省揭阳市揭西县,签就业协议形式就业,广州市黄埔区东荟加拿达幼儿园,广东省广州市黄埔区,广东省广州市黄埔区,教学岗位,教学人员,3650.0,2021-01-18,匹配,学前教育学院,学前教育-2年制,专科
,广东省汕尾市海丰县,签劳动合同形式就业,深圳市广达兴家具有限公司,广东省深圳市龙岗区,广东省深圳市龙岗区,摄影,其他人员,3000.0,2021-04-13,匹配,艺术设计学院,艺术设计-2年制,专科
,湖南省衡阳市衡东县,签就业协议形式就业,韶关市曲江区艺术幼儿园,广东省韶关市曲江区,广东省韶关市曲江区,副班,教学人员,2000.0,2021-01-16,很匹配,学前教育学院,学前教育-2年制,专科
,广东省广州市越秀区,签就业协议形式就业,中山市坦洲华美思达教育培训中心,广东省中山市,广东省中山市,教师,教学人员,3500.0,2021-02-20,很匹配,学前教育学院,学前教育-2年制,专科
,广东省广州市荔湾区,签就业协议形式就业,广州市荔湾区联合围幼儿园,广东省广州市荔湾区,广东省广州市荔湾区,副班老师,教学人员,4000.0,2021-03-01,很匹配,学前教育学院,学前教育-2年制,专科
,广东省汕头市金平区,境外留学,东亚管理学院,新加坡,新加坡,,其他人员,,2021-08-23,,艺术教育学院,音乐教育-5年制,专科
,广东省广州市白云区,签就业协议形式就业,睿泽云涌（北京）体育文化有限公司,北京市朝阳区,北京市朝阳区,外语翻译,其他人员,3000.0,2020-09-23,很匹配,外语外贸学院,应用英语,专科
,广东省清远市清城区,其他录用形式就业,广州市协调教育咨询有限公司,广东省广州市南沙区,广东省广州市南沙区,美术老师,商业和服务业人员,2500.0,2021-03-01,一般匹配,艺术设计学院,影视动画,专科
,广东省汕头市潮阳区,其他录用形式就业,中山市迈腾五金制品有限公司,广东省广州市番禺区,广东省广州市番禺区,外贸业务员,其他人员,3000.0,2021-09-06,比较匹配,外语外贸学院,商务英语,专科
,广东省江门市恩平市,境内升学,广东第二师范学院,广东省广州市海珠区,广东省广州市海珠区,音乐学（师范）,其他人员,,2021-09-01,,音乐舞蹈学院,表演艺术,专科
,重庆市奉节县,其他录用形式就业,广东稻盛丰工程有限公司,广东省中山市,广东省中山市,副经理助理,其他人员,2400.0,2021-05-22,一般匹配,学前教育学院,早期教育,专科
,广东省惠州市龙门县,其他录用形式就业,广州市紫萱阅童文化传播有限公司,广东省广州市海珠区,广东省广州市海珠区,美术助教,教学人员,4000.0,2021-03-02,匹配,基础教育学院,小学教育,专科
,广东省佛山市顺德区,境内升学,广东培正学院,广东省广州市花都区,广东省广州市花都区,视觉传达设计,其他人员,,2021-09-01,,艺术设计学院,玉器设计与工艺,专科
,广东省湛江市廉江市,其他录用形式就业,广州市几好思迈艺术培训有限公司,广东省广州市越秀区,广东省广州市越秀区,英语老师,教学人员,3000.0,2021-03-18,匹配,基础教育学院,英语教育,专科
,广东省湛江市遂溪县,其他录用形式就业,广州星启源教育咨询有限公司,广东省广州市天河区,广东省广州市天河区,老师,教学人员,4000.0,2021-03-10,很匹配,艺术教育学院,音乐教育,专科
,广东省广州市,其他录用形式就业,广东三元麦当劳食品有限公司,广东省广州市番禺区,广东省广州市番禺区,粉红姐姐,其他人员,3500.0,2021-03-03,不匹配,艺术教育学院,音乐教育,专科
,广东省茂名市化州市,签就业协议形式就业,广州雅齐诺光电科技有限公司,广东省广州市白云区,广东省广州市白云区,业务员,经济业务人员,5500.0,2020-12-15,一般匹配,外语外贸学院,应用英语,专科
,广东省湛江市廉江市,境内升学,肇庆学院,广东省肇庆市端州区,广东省肇庆市端州区,小学教育,其他人员,,2021-09-01,,学前教育学院,早期教育,专科
,广东省江门市台山市,其他录用形式就业,广州含蕴艺术教育咨询有限公司,广东省广州市黄埔区,广东省广州市黄埔区,美术教师,教学人员,2600.0,2021-03-29,一般匹配,艺术设计学院,产品艺术设计,专科
,广东省茂名市电白区,境内升学,广东第二师范学院,广东省广州市海珠区,广东省广州市海珠区,音乐学,其他人员,,2021-09-01,,音乐舞蹈学院,歌舞表演,专科
,广东省阳江市阳西县,自主创业,深圳市万来达科技有限公司,广东省深圳市宝安区,广东省深圳市宝安区,,其他人员,5000.0,2021-04-10,比较匹配,外语外贸学院,商务英语,专科
,广东省茂名市化州市,境内升学,广州应用科技学院,广东省广州市增城区,广东省广州市增城区,英语,其他人员,,2021-09-05,,公共管理学院,文秘,专科
,广东省汕头市潮南区,其他录用形式就业,广州致道企业管理顾问有限公司,广东省广州市天河区,广东省广州市天河区,前台,其他人员,4500.0,2021-05-10,不匹配,外语外贸学院,商务英语,专科
,广东省揭阳市揭西县,签就业协议形式就业,佛山市长城冷气贸易工程有限公司,广东省佛山市禅城区,广东省佛山市禅城区,经理助理,其他人员,4000.0,2021-04-16,一般匹配,外语外贸学院,应用英语,专科
,广东省韶关市始兴县,其他录用形式就业,广州市极冰网络科技有限公司,广东省广州市天河区,广东省广州市天河区,客服专员,商业和服务业人员,3500.0,2020-12-01,不匹配,信息学院,计算机应用技术（网络）,专科
,广东省韶关市南雄市,签劳动合同形式就业,南雄市雄州街道舞东方文化中心,广东省南雄市,广东省南雄市,舞东方艺术教育,教学人员,4000.0,2021-06-20,匹配,学前教育学院,早期教育,专科
,广东省佛山市,待就业,,,,,,,,,外语外贸学院,旅游英语,专科
,广东省清远市清新区,境内升学,华南农业大学珠江学院,广东省广州市从化区,广东省广州市从化区,汉语言文学,其他人员,,2022-08-21,比较匹配,基础教育学院,小学教育,专科
,广东省河源市紫金县,其他录用形式就业,东莞市富赢商贸有限公司,广东省东莞市,广东省东莞市,职员,其他专业技术人员,2100.0,2021-01-04,一般匹配,信息学院,数字媒体应用技术,专科
,广东省阳江市阳东区,其他录用形式就业,东源县明珠幼儿园,广东省河源市东源县,广东省河源市东源县,教师,教学人员,2300.0,2021-02-27,不匹配,音乐舞蹈学院,舞蹈表演,专科
,广东省湛江市雷州市,境内升学,东莞理工学院城市学院,广东省东莞市,广东省东莞市,英语,其他人员,,2021-09-01,,公共管理学院,人力资源管理,专科
,广东省广州市天河区,境内升学,湛江科技学院,广东省湛江市麻章区,广东省湛江市麻章区,英语,其他人员,,2021-09-04,,外语外贸学院,旅游英语,专科
,广东省东莞市,其他录用形式就业,东莞市凯昌建材有限公司,广东省东莞市,广东省东莞市,文员,其他人员,4000.0,2021-08-09,一般匹配,外语外贸学院,商务日语,专科
,广东省揭阳市榕城区,签就业协议形式就业,揭阳市榕城区双陈鞋类商行,广东省揭阳市榕城区,广东省揭阳市榕城区,网店运营,商业和服务业人员,5000.0,2021-03-26,很匹配,外语外贸学院,电子商务,专科
,广东省潮州市饶平县,签劳动合同形式就业,饶平县小启星美术工作室,广东省潮州市饶平县,广东省潮州市饶平县,美术老师,教学人员,5000.0,2021-03-14,一般匹配,艺术设计学院,产品艺术设计,专科
,广东省佛山市南海区,境内升学,广州理工学院,广东省广州市白云区,广东省广州市白云区,环境设计,其他人员,,2021-09-01,,艺术设计学院,艺术设计,专科
,广东省汕头市潮阳区,境内升学,广州华商学院,广东省广州市增城区,广东省广州市增城区,工商管理,其他人员,,2021-09-01,,外语外贸学院,旅游英语,专科
